,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Neighborhood_Quality,House_Price
0,1360,2,1,1981,0,5,262382.8522740563
1,4272,3,3,2016,1,6,985260.854490162
2,3592,1,2,2016,0,9,777977.3901185812
3,966,1,2,1977,1,8,229698.9186636115
4,4926,2,1,1993,0,8,1041740.8589249004
5,3944,5,3,1990,2,8,879796.9835223783
6,3671,1,2,2012,0,1,814427.8614089885
7,3419,1,1,1972,1,1,703413.1109446795
8,630,3,3,1997,1,8,173875.03721558454
9,2185,4,2,1981,2,5,504176.5060593679
10,1269,2,2,2006,1,9,335332.59275293903
11,2891,2,3,1982,0,2,635097.3959198
12,2933,5,3,1973,2,9,701133.8041471172
13,1684,5,3,1988,1,8,440726.2848162878
14,3885,2,3,1983,1,9,838719.430503504
15,4617,5,1,2005,0,4,1019192.6613592046
16,3404,3,3,1977,0,1,735850.8123421574
17,974,2,2,1986,2,1,234261.64997473892
18,1582,5,2,1956,1,5,396246.3588887452
19,3058,2,1,2017,0,2,672852.0519810001
20,2547,4,2,1986,2,8,586086.5685389101
21,3247,1,2,2005,1,10,740174.0146550778
22,1475,2,3,2014,1,5,370167.09090271546
23,2306,1,2,2014,2,5,530824.1967752124
24,689,5,1,1996,2,2,227515.3002879812
25,3234,1,3,1969,0,7,652166.1423658864
26,3505,2,3,1968,1,8,745670.6371477235
27,2399,4,1,1978,1,10,513161.95119306416
28,1767,5,3,2009,1,1,432357.9061027443
29,2028,2,3,1967,2,2,434165.8966340506
30,3702,5,1,1984,0,10,809686.201143527
31,4056,3,3,1992,1,4,883819.0911218557
32,4390,1,1,1960,2,5,912468.0479046734
33,1146,3,1,1998,1,2,281313.0614448485
34,3388,2,2,1987,0,1,705923.3148916194
35,2935,4,2,2013,1,9,656980.4604282172
36,1100,5,3,2018,0,1,318266.2771320871
37,2863,1,3,1957,0,4,582468.7977365239
38,2561,5,1,1983,1,2,541967.633559251
39,741,2,3,1997,1,4,188531.42345710637
40,2541,5,1,2005,0,8,565562.7504321395
41,3324,1,1,2014,2,8,697574.5556670319
42,3112,2,3,1980,0,9,666733.4734616925
43,1863,5,1,1953,1,5,376388.0216286443
44,1978,4,2,1999,1,7,485380.95019563066
45,3056,2,3,2018,2,3,735678.4622017285
46,1275,2,2,1979,0,10,296291.0010075069
47,4514,4,3,2008,0,4,1046315.8960136625
48,534,3,1,2016,0,10,187508.58531168045
49,3652,1,3,1994,1,9,793995.2848757812
50,2455,3,2,1953,0,10,527393.5128875901
51,2085,5,1,1975,2,10,467768.122943975
52,4443,4,3,1976,1,1,981190.782911222
53,3573,3,3,1995,1,2,750481.7169351575
54,1521,2,3,2013,0,5,377511.26849809097
55,3961,5,2,2000,2,3,866877.3524150968
56,3113,5,2,1999,1,2,731331.6610567131
57,4343,3,3,1955,1,1,899382.8651584806
58,2000,3,1,2008,0,10,485622.401919989
59,661,4,1,1964,0,3,147601.55157708153
60,4797,1,2,1979,2,1,986006.861736761
61,2481,3,1,1991,0,1,509725.550655089
62,1495,3,2,1986,2,1,346932.6209008944
63,3842,2,3,1991,1,8,863289.3969030941
64,4298,5,2,1984,2,3,919295.8540615214
65,1775,1,2,1955,2,1,406069.2709127523
66,1516,2,3,2017,2,7,397346.1108776756
67,837,4,1,1967,1,10,191117.1012230497
68,1378,4,2,2022,0,3,384461.3548261602
69,1576,3,2,1978,1,8,340980.72481778456
70,4493,3,3,2008,0,4,951093.5469938468
71,879,4,1,1996,2,4,217010.48526715024
72,992,3,2,1966,2,5,248224.0196560961
73,2562,1,3,1971,2,6,538349.0962151848
74,4384,3,2,2017,2,7,985223.9966541852
75,564,5,3,2018,2,4,242865.9315016322
76,3068,3,1,1986,0,8,654466.9454086807
77,2527,2,1,1998,0,6,551967.8882668803
78,3195,1,1,1962,2,1,663904.9927177994
79,1995,2,1,1983,1,1,397482.74798703607
80,891,2,2,2002,1,9,209632.84147750464
81,4974,5,2,2000,2,10,1107045.062935083
82,4061,1,1,1952,0,6,787420.4040749857
83,2778,1,1,1991,1,10,605371.7047170609
84,3599,1,1,1981,1,8,721018.0639031393
85,700,1,2,2000,1,7,199066.37891066872
86,3604,1,1,1995,2,6,730047.4973881331
87,2954,5,1,1970,1,4,627923.6171994702
88,4145,3,1,1993,1,7,898283.8867356428
89,1304,2,3,1960,1,9,277832.10571177263
90,3231,1,1,2017,1,10,731490.1175330897
91,3273,3,3,1950,0,10,688357.648480334
92,2070,3,3,2012,2,7,525582.3102214569
93,3190,2,1,1973,2,1,684824.5348634415
94,4340,5,3,1962,0,10,903251.9405609448
95,1528,4,1,1960,0,9,323118.7393152309
96,1002,4,2,2000,2,4,307101.6858385633
97,4993,3,2,1966,1,3,1020324.7565966452
98,1370,2,2,1973,1,4,304730.506229004
99,4988,4,2,1968,2,4,1026397.296612232
100,706,3,3,1986,1,10,199414.94263280893
101,1984,5,1,1957,0,2,472657.61431723344
102,1363,4,1,1977,1,1,340069.229775934
103,3290,3,1,1954,1,10,696709.415289048
104,1063,3,2,1966,1,1,266533.05392411625
105,4691,1,2,1985,2,8,971514.7620428528
106,2257,5,1,1968,0,2,501305.5489940659
107,2178,1,2,2013,1,10,480961.44203831744
108,3742,2,1,1960,2,5,758977.8818675748
109,1559,1,1,2003,1,4,364658.5286208398
110,2222,1,1,1994,0,8,515813.7578353911
111,3814,4,1,1996,1,2,834587.5117736553
112,3657,3,1,1961,0,10,747384.0608082061
113,3125,5,1,1970,1,9,667696.0449735246
114,3229,1,1,1960,0,7,645145.5398468642
115,2097,5,2,1954,1,7,481368.1255215702
116,3560,1,1,2005,0,1,740148.1937768575
117,3193,2,1,1969,1,2,639073.1842415399
118,4127,1,2,1990,1,4,886568.3132277146
119,1863,4,2,1995,2,4,450941.1354372639
120,2481,3,2,1961,2,3,513720.44181706064
121,2163,2,1,2019,0,7,521205.600976709
122,2029,1,3,1966,1,8,455122.0999589496
123,2538,5,3,1968,0,2,551463.8888534079
124,3802,2,2,1975,2,4,816173.7524264855
125,2737,2,3,1997,0,3,637736.0103999889
126,1806,1,2,2001,0,2,420203.4615575062
127,4529,2,1,2019,2,6,1026790.0663279732
128,3175,5,3,2004,1,4,744681.397063456
129,1782,2,1,1982,0,6,400585.46235503367
130,1209,5,3,2011,2,2,368327.4567183169
131,4913,1,1,1972,1,4,977158.5923179968
132,4248,3,3,1964,2,6,883626.6203857235
133,1163,2,1,1976,0,5,244030.4071335913
134,2498,3,1,2013,1,3,558598.6787614333
135,3945,5,3,2000,1,8,860329.4923109863
136,4243,2,1,2002,2,7,947490.777477816
137,1995,4,1,2000,2,3,492018.32279508375
138,3804,3,1,1996,2,6,832386.3311958439
139,4263,2,3,1953,1,4,893926.6294720689
140,2353,3,3,1956,1,5,534464.9120087984
141,1791,2,1,1984,0,5,355281.41848528635
142,4081,1,1,1997,1,7,834105.7943401121
143,3957,3,3,2022,0,5,885550.3826256534
144,2136,4,3,2021,2,3,551859.0856947603
145,4196,4,1,1994,2,10,922420.588370604
146,3499,5,1,2021,1,5,804433.8093218554
147,3652,2,1,1968,2,7,734985.0630470021
148,1198,3,2,2012,2,5,346152.8475921306
149,2660,5,3,1987,1,5,649973.3618681368
150,4597,3,2,2016,0,9,1006939.6644174114
151,1354,2,3,2008,1,3,370260.6031667921
152,3974,4,3,2018,0,6,928059.7129533672
153,2207,1,3,1962,1,1,492112.0397149675
154,3277,4,3,1996,1,10,752466.6746666236
155,2233,5,3,2010,2,5,573797.9393068494
156,4010,1,3,1980,1,8,854876.2983739193
157,702,5,3,1971,1,5,183663.6464573192
158,3755,2,2,1992,0,9,788150.9318106314
159,4718,1,1,2016,2,6,981510.89525884
160,4996,5,1,2003,0,8,1070454.2752476104
161,1266,2,2,1959,0,10,241968.8432665446
162,4889,4,2,1991,2,8,1064004.872579212
163,2827,2,2,2013,2,3,640767.2241513439
164,3431,3,2,1970,2,7,762159.3914733424
165,697,2,3,2015,1,7,216591.97111921213
166,2430,2,1,1990,2,10,497168.0883454792
167,4082,3,3,1973,2,6,857205.2452653883
168,1108,5,1,1984,2,7,285546.501684919
169,3772,5,1,2005,0,2,819125.6470544274
170,1647,2,2,1979,0,9,316130.2555576059
171,4782,3,3,2006,1,10,1067425.216621323
172,3897,3,2,1996,0,10,837398.565143556
173,3011,4,3,1984,1,1,658260.7060110456
174,2294,5,1,1968,0,1,475767.3504503976
175,1159,1,2,1957,2,3,250101.5473305484
176,3311,5,2,1975,0,3,688516.5046690886
177,1869,5,1,2020,1,1,510876.9990932239
178,2486,4,1,1979,0,7,543734.421890143
179,646,1,1,1956,2,4,146406.89625235138
180,3719,4,2,2016,1,10,828512.1019589091
181,3411,1,3,2014,2,2,719969.4352945103
182,2234,2,2,1985,2,10,507847.5873391124
183,2343,1,3,1974,1,5,507554.9440535184
184,988,4,2,1986,2,6,294558.07202157495
185,3476,5,2,1950,2,9,712212.2154102818
186,2459,1,1,1964,0,4,491715.9476636626
187,2885,1,3,1986,2,2,625227.045470116
188,3419,3,2,1962,2,5,752101.9024207598
189,2302,5,2,1957,2,3,501913.6471080413
190,4561,2,1,1954,2,2,907358.632995708
191,3869,4,1,2009,1,1,878704.0956397129
192,762,2,3,2022,0,10,237070.7057045996
193,1123,5,2,1950,2,2,267132.4135848208
194,1516,1,3,1985,2,6,353129.5684734057
195,4143,1,2,1984,1,8,845141.6166638864
196,2549,5,3,2015,2,3,656223.1627305328
197,4223,1,1,2012,1,9,884677.6890798345
198,3608,1,2,1972,0,9,775773.2237663032
199,4590,1,3,1958,0,2,918893.7439235622
200,2556,4,1,1983,2,8,607698.7371081988
201,3670,4,1,1995,2,10,838774.4840391098
202,2182,3,3,1953,2,5,470978.4795328964
203,2755,2,2,1979,1,4,616308.9624199027
204,1654,5,2,2021,2,10,417416.2622542783
205,4999,5,1,1952,2,5,1060976.488572305
206,3691,5,2,1963,0,4,809046.2841762663
207,2196,3,2,2009,2,8,485376.42332357954
208,4491,4,2,1994,0,4,965816.66811073
209,2148,3,1,1983,2,10,517515.4060050993
210,1945,5,3,1994,0,6,438250.1761546225
211,4699,2,2,2010,2,2,1008240.7854354944
212,4423,1,1,1965,0,5,888140.07598706
213,753,4,1,2015,1,6,252963.3562076132
214,3683,4,3,1989,0,5,801206.2036701888
215,3057,3,2,1966,0,2,624112.1600204634
216,598,4,2,1983,0,7,155471.16626013073
217,2700,5,3,1965,2,4,617900.4948407207
218,3461,5,3,2009,2,8,798362.7750475319
219,4933,3,1,2015,2,7,1096158.2899088082
220,4277,5,1,2015,1,7,927092.4059599084
221,3369,2,3,1962,1,9,728289.8873118911
222,3734,3,2,2005,0,1,785248.3619879358
223,4291,2,1,1980,1,10,862580.4983858576
224,1456,1,1,1983,0,6,297387.92248393584
225,4567,2,2,1988,0,6,938151.8372450712
226,660,1,1,2016,0,6,203447.4833684562
227,4993,1,2,1957,1,6,1038319.1650899692
228,1800,2,2,2004,2,10,443408.3059778237
229,4487,3,2,1976,1,7,971977.0246414564
230,2027,5,3,2002,0,10,539478.4031506823
231,1718,5,3,1988,0,6,424712.5512524801
232,4996,1,3,2014,1,1,1102533.6490590929
233,3604,1,2,1966,0,3,740286.5597469498
234,3235,3,2,1979,0,2,655719.1459405582
235,1454,4,3,2002,1,6,402213.42189319455
236,3946,2,1,1962,1,8,779202.6809723858
237,1545,1,2,1970,1,3,338170.31528112484
238,2193,5,1,1968,0,10,497340.9981159924
239,3936,3,1,2002,0,8,815811.6827370644
240,1062,2,2,1968,2,8,250362.35906874528
241,2985,3,2,2006,2,5,717150.4421296231
242,3854,2,1,1974,1,8,811129.4971755756
243,725,2,1,1980,2,6,165242.29785174478
244,1459,1,3,2004,0,5,370992.4565584571
245,3567,3,3,1972,2,9,779362.3561113286
246,1315,3,2,1981,0,7,308618.40727220185
247,3620,5,3,2011,1,8,861356.9775590366
248,516,5,3,1959,1,1,171023.95659837997
249,1743,1,3,2021,0,2,381738.0175438036
250,2705,1,3,2003,2,8,628610.9650581649
251,3024,4,1,2001,1,9,698124.6114710766
252,1569,5,2,1969,1,4,362679.08775021497
253,3944,2,3,1981,2,10,822030.766712673
254,3065,3,1,1963,2,10,611205.6889207754
255,1560,1,1,1999,0,9,359657.9955923103
256,2827,3,1,1977,2,4,605143.9591154716
257,3920,3,3,2002,2,10,881016.0047742793
258,801,4,3,1973,2,10,258111.6713724362
259,4776,5,2,1971,0,10,1038652.4247755758
260,1106,1,3,1979,0,9,219426.92448759967
261,3670,3,3,2012,1,7,813296.8090259811
262,1199,1,1,1953,0,2,211038.85316259583
263,1639,2,2,2008,1,9,395042.3550597105
264,690,4,3,1957,2,4,203867.04292282808
265,2800,2,3,1961,1,8,619660.8346800937
266,1480,1,1,1980,1,7,304174.6641013576
267,3475,1,1,1983,2,7,731899.435616318
268,1684,5,3,1998,1,8,467628.527062253
269,3827,3,2,2006,0,1,827143.776401641
270,3894,3,2,1975,0,5,797034.4255040532
271,627,2,1,1967,0,2,126097.92716348889
272,2565,4,1,1987,0,2,527544.910534171
273,2316,3,3,1999,1,1,570289.0160760867
274,1069,5,1,1957,1,5,234389.76681767972
275,2395,2,3,1990,2,2,534533.0200368982
276,3233,2,2,1955,1,4,660507.8198303543
277,4363,5,2,2018,1,3,1008539.156234348
278,4514,4,3,1993,1,3,955158.90638745
279,3401,5,1,2013,2,2,756373.8420634224
280,2186,4,2,1978,0,6,441315.08847493527
281,3509,5,1,1977,1,2,749610.4677553453
282,654,5,2,1960,2,8,158636.70310577296
283,3037,1,3,2014,2,8,699683.2484112402
284,1909,2,3,1968,2,5,390430.2223774808
285,4557,5,3,1958,0,10,935973.5562996916
286,1284,5,2,1976,1,7,350816.184399563
287,3675,3,1,1983,2,4,779019.7305378267
288,4841,2,1,1993,0,1,987630.2411262016
289,3306,3,1,2017,2,2,733612.8163648158
290,1037,2,2,1964,2,10,255907.13436003952
291,2341,3,2,2000,2,10,517655.1581174146
292,2955,5,2,1962,2,4,684425.2003263966
293,1024,5,2,1998,2,1,323701.2441901499
294,3450,1,2,2019,0,8,724814.2264216079
295,4631,3,1,2005,1,9,1015556.1485920788
296,4615,4,2,2000,1,4,993273.0796606252
297,2868,1,2,1986,1,10,581948.159950993
298,4347,3,1,1966,1,3,895675.5548211845
299,4995,3,2,2007,0,2,1092026.89678641
300,3201,1,1,1978,0,5,662119.9410580613
301,1471,5,1,1982,0,3,341253.2207795087
302,1666,3,3,2009,2,10,412045.7826588494
303,3274,5,3,2004,2,7,748220.493682927
304,2482,1,3,1959,2,6,507185.45440816105
305,1353,5,3,1996,1,1,354054.70019158506
306,4646,2,2,1972,2,8,915005.2948821838
307,4236,4,3,1970,1,2,872676.434152397
308,4269,3,1,1962,2,5,934942.0571329228
309,1074,4,2,1982,1,9,269061.7820440072
310,3761,5,3,1973,2,8,867445.4184620865
311,1648,3,1,1960,2,2,342303.6892675472
312,2215,5,2,1966,0,9,486872.0567091347
313,4354,2,2,2017,2,5,935626.95292811
314,2991,1,3,1996,2,10,644601.105174152
315,3160,3,2,1974,0,6,645375.2217757016
316,3624,2,1,2022,1,3,786580.3015186453
317,3551,2,2,1970,0,3,740281.2153448497
318,504,3,1,1961,0,10,149743.4999535613
319,1376,5,2,1986,1,8,348893.55395287194
320,1491,2,3,1991,2,10,346010.94983818056
321,4642,4,1,1966,1,10,915441.1797542056
322,4864,2,2,1997,2,2,988325.4879158876
323,4965,5,2,1977,2,2,1075864.2810329462
324,1135,5,2,1990,1,5,329218.5249164853
325,2193,4,1,1996,0,6,530004.3428420601
326,2182,2,1,1967,1,2,408013.5790622347
327,619,5,1,2020,2,5,224507.20014868543
328,1330,3,3,1962,1,7,300656.0790681994
329,4175,1,3,1962,1,10,848824.7742976189
330,1869,1,1,1980,2,10,396681.2860961783
331,1240,1,2,1951,0,8,262398.4460460842
332,616,2,3,1965,1,7,180393.6281134625
333,3338,4,1,1958,2,8,671803.9439013259
334,1650,5,2,2022,2,9,474045.8427124246
335,2431,3,3,1987,1,5,505877.59815497726
336,1512,3,2,2003,0,5,389645.3296127529
337,2164,2,2,2005,1,10,483350.32816846616
338,1581,1,2,1994,0,4,358458.3807510001
339,1012,2,2,1983,0,9,264395.09178796335
340,3349,4,3,1958,0,5,749571.2916347987
341,1059,4,3,1957,0,2,263760.9441483153
342,4172,5,3,1956,1,10,894611.0786564201
343,3843,5,1,1985,2,8,853001.1125510683
344,4570,4,3,1967,2,7,972537.496467423
345,1970,4,2,1952,2,8,453359.87163545546
346,1080,4,3,1977,2,3,270230.63769827964
347,2794,2,2,2019,2,4,673649.8960889375
348,3647,4,1,1993,2,5,827205.303959231
349,4749,3,2,1970,1,6,1007770.5792970628
350,2179,1,2,1977,0,1,443005.62363881344
351,4006,4,2,2003,2,4,871566.5627396672
352,3244,1,1,2003,1,10,726227.5690417645
353,3856,2,3,2014,2,5,824351.6710960343
354,4545,1,3,1970,2,7,973850.3282632278
355,1743,2,1,1962,0,5,344363.2736819858
356,3618,3,2,2006,0,1,793421.1417884243
357,2641,2,3,1998,0,7,621862.7654183527
358,3559,2,1,2003,2,8,758946.7724048437
359,3459,5,3,1959,2,7,759151.2379465501
360,2765,4,1,2002,2,4,630531.7401285437
361,2979,4,2,1993,0,8,646766.2897519646
362,2135,3,3,1996,1,5,533039.4327952061
363,2257,3,1,2002,2,10,496427.1035646905
364,4952,4,3,1995,2,9,1099211.6405116057
365,2570,5,3,1962,2,10,605600.9507407207
366,3349,4,3,1986,1,5,738935.8194460399
367,3751,5,3,1973,2,1,839522.318603536
368,4230,3,1,1951,1,9,874856.2710820399
369,2989,1,2,1963,2,5,609401.0845045892
370,2131,3,1,1959,1,6,457643.0980423783
371,3316,3,1,1984,2,4,676108.8512096877
372,1515,2,1,1974,0,6,300935.18607341987
373,1848,2,2,1952,0,8,381998.6086592969
374,3587,2,3,1966,0,3,720883.657171062
375,3339,2,3,1961,0,5,722543.0796460027
376,835,5,3,2003,2,2,294548.40256048914
377,1395,4,2,1973,0,2,336073.5215992294
378,4046,1,3,1978,1,7,863034.675749834
379,1351,3,2,1992,0,10,319748.76677475666
380,2187,5,3,1974,0,10,504023.26087166165
381,2431,1,3,2009,0,10,538851.8933945443
382,4246,5,1,2014,2,6,934919.3827777772
383,2927,5,2,1977,0,4,648902.5219843038
384,2068,3,1,1965,1,5,414808.6543176996
385,4500,4,1,1996,0,1,940080.4444014952
386,3238,2,1,2007,0,7,676233.0768279255
387,3998,4,2,1976,0,8,866618.3890237983
388,4413,3,2,2002,1,9,983106.2224146988
389,1566,3,3,1991,0,8,367024.37943296967
390,4880,3,1,2008,1,5,1075814.4318808403
391,2944,1,3,1996,1,3,660979.0474886918
392,4607,4,1,1983,0,10,978190.835072989
393,3873,4,2,1986,1,9,801313.0610758337
394,4469,5,2,1955,2,6,992213.4530121648
395,3046,5,2,1956,0,5,676719.1220590248
396,1253,5,1,1974,0,3,296184.19659571577
397,2582,3,2,1982,1,6,587557.3219128358
398,3274,4,1,2004,1,3,724842.1846929234
399,3396,3,3,2007,0,10,762080.8235471162
400,4685,1,1,1956,2,6,955223.3951427988
401,1275,5,3,2006,1,4,354189.0054772034
402,2125,3,1,1961,1,2,454484.4215050965
403,3569,3,3,1965,2,8,769087.1879559917
404,917,1,2,1992,2,4,251359.7986427481
405,614,2,3,1956,0,9,172534.44400203408
406,1116,4,2,2000,2,7,268244.1761186752
407,4474,2,2,2022,0,2,985699.1860734548
408,3767,5,3,1981,2,4,824529.5721138918
409,1325,3,1,1957,1,5,289985.41455097107
410,2016,1,1,2021,0,3,450594.5679766036
411,3646,1,1,1994,0,9,794010.0167336396
412,912,4,1,2008,0,5,233504.5137836983
413,1228,2,1,1953,2,2,269736.4362439106
414,3848,4,2,2016,1,3,841676.0140843305
415,3308,3,1,1978,0,9,707483.440019593
416,1175,4,2,1978,0,7,310471.3888855296
417,3965,1,2,1977,0,2,846516.6709494363
418,3004,1,2,1993,0,9,647388.2995956682
419,3467,5,3,1953,1,4,760678.6016673865
420,3286,5,3,1958,2,9,681361.2493428746
421,1622,3,2,1954,1,2,325380.0022571336
422,4579,2,3,2005,0,10,987442.6840517226
423,2071,4,1,1999,1,4,508941.1259280808
424,2643,3,1,1964,0,5,572941.4282388942
425,2187,5,2,1981,2,2,481489.24616078194
426,4632,4,1,1977,2,10,997885.7696999718
427,4351,5,2,1971,2,1,944921.9815744858
428,3940,4,2,1966,0,7,842172.2092376931
429,4266,2,1,2008,1,10,901471.7427249742
430,2826,3,3,2020,2,1,632482.6223597979
431,3414,4,1,2006,0,8,748136.4563894381
432,4452,1,1,1975,0,3,914555.7450033636
433,1095,1,2,1974,1,10,214492.39812518292
434,1228,4,2,1959,2,6,287478.2675046062
435,1865,4,2,1994,0,7,478566.0655908441
436,4992,4,2,1960,1,10,1068538.1056038716
437,1198,1,3,2002,2,1,334276.21781208954
438,895,1,3,2021,1,6,235478.10213396215
439,4671,4,3,2017,1,7,1028282.3118218936
440,4860,5,2,1977,0,6,1060712.8283115798
441,3002,5,2,2014,0,4,690243.7506863925
442,2319,2,2,1998,0,1,501720.6757217424
443,1217,3,3,1996,1,9,314916.5292154408
444,3282,5,2,2001,0,4,752791.6325948103
445,4077,1,1,2003,1,7,848697.2899849606
446,643,5,1,2009,1,7,213397.79303700436
447,3640,2,2,2006,0,2,788471.7465500822
448,4991,2,1,1996,2,1,1023975.1331555475
449,3438,3,1,1980,2,8,738091.5512277477
450,4136,5,3,1995,2,8,926531.8100085806
451,3722,1,2,1975,1,7,781388.9356850483
452,1667,1,2,1954,1,8,302975.3037628076
453,3116,4,3,2001,1,3,696224.0924052008
454,1562,1,1,2003,0,2,370689.5462510848
455,2656,3,1,1982,1,7,559262.3223593918
456,3482,3,2,1999,0,8,775422.1168993582
457,3794,1,1,1987,0,1,783176.6365627198
458,1656,1,3,1976,2,10,392725.1966639868
459,1232,4,3,1964,2,9,297268.39963389
460,4830,1,2,2010,2,4,1027285.7703285776
461,1453,4,3,1970,0,4,367172.5872737959
462,3039,4,3,1995,0,3,697780.778011206
463,3824,1,2,2018,0,6,802714.096172766
464,3801,2,3,1955,1,1,783978.6474904561
465,2042,2,3,1987,0,6,475471.1766686792
466,1691,4,3,2011,2,2,427302.04370052734
467,3493,1,1,2011,2,9,724420.5096752369
468,3181,2,2,1995,0,2,690319.8868147184
469,1717,1,2,1962,0,7,383644.1777444591
470,2040,1,2,1952,2,1,379109.0941130737
471,3736,1,1,1955,0,7,758293.3788835382
472,2886,5,1,1957,2,5,619360.9693678387
473,4219,1,2,1993,1,8,923122.114178692
474,1888,5,1,1982,2,4,477884.3169302657
475,2356,4,2,1999,1,10,558796.2539569193
476,1865,2,1,1960,0,7,366797.3447576696
477,999,2,3,1977,0,6,226125.4126756759
478,2180,2,3,2019,1,5,507967.8360673265
479,1010,2,2,1990,0,4,246540.9659359964
480,4812,2,1,1965,1,7,961367.1393329063
481,1824,2,1,2017,0,5,427947.1030973768
482,1655,2,3,1997,2,5,396277.33998439007
483,2327,4,3,2005,0,1,585574.1096146859
484,3641,1,1,2013,2,2,763296.5725547657
485,3986,3,1,2008,2,5,827741.1738157432
486,2310,5,1,2011,1,3,523323.0670600654
487,3423,3,1,1960,0,2,731262.2024937344
488,2714,3,1,1967,1,4,574450.4841823126
489,4686,1,1,1968,0,4,923773.1293560604
490,1213,1,2,2004,2,4,269665.8613983956
491,4102,1,1,1975,2,4,838955.4538986462
492,4634,2,3,1955,0,3,915104.2350135812
493,4022,4,2,1953,0,7,875981.0268954616
494,4768,2,1,1978,1,9,1017321.3952750646
495,1743,4,3,2008,0,5,435500.9447943791
496,4209,4,2,1966,0,4,896600.4885198027
497,1581,3,3,1992,0,2,342679.45001245977
498,955,3,1,2015,1,2,267185.2676416052
